Energy,20221102_1642_Cr_22157b_75K_60deg_minus_0000,20221102_1646_Cr_22157b_75K_60deg_plus_0000,20221102_1649_Cr_22157b_75K_60deg_plus_0000,20221102_1653_Cr_22157b_75K_60deg_minus_0000,20221102_1656_Cr_22157b_75K_60deg_minus_0000,20221102_1659_Cr_22157b_75K_60deg_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,,LCOT (2T),2T
590.135,0.117394940242176,0.114364337163266,0.112962687738714,0.112370377370533,0.111786877079186,0.110918921880106,0.11194080480941,0.112078627224859,0,0,1.37822415449379E-4,0,0.0100622548259579,1.37822415449379E-4,0.155113316457193,-5.08331976798707E-6
590.146,0.117381686542685,0.114312608296179,0.112931667472688,0.112375035113915,0.111787306987542,0.110911809607031,0.11192173853986,0.112081171050728,0,0,1.59432510868696E-4,0,0.0100352281370907,1.59432510868696E-4,0.155120281157507,4.68888427656482E-5
590.157,0.117330271069001,0.114330074135044,0.112936447379006,0.112336610511218,0.11181309282202,0.110928916030009,0.111932681704507,0.112074851666619,0,0,1.42169962112165E-4,0,0.010029347672443,1.42169962112165E-4,0.155178274937071,5.05535850151538E-6
590.168,0.117372473338312,0.114322150282079,0.112931539434671,0.112399711443917,0.111815712201906,0.110928037046949,0.11192978824081,0.112107711822912,0,0,1.77923582101586E-4,0,0.0100488101198523,1.77923582101586E-4,0.155297425046688,9.11580130154993E-5
590.179,0.117402264672088,0.114307350162622,0.112935838038,0.112413967183922,0.111804996577009,0.110942591553057,0.111939214795528,0.112109481880465,0,0,1.70267084936948E-4,0,0.0100495024869386,1.70267084936948E-4,0.155371280076371,7.25054031645913E-5
590.19,0.117371337591378,0.114349140768382,0.112941159842772,0.112360744784967,0.111822325505729,0.110926135928897,0.111933647885835,0.112091535145348,0,0,1.57887259513087E-4,0,0.0100154845969413,1.57887259513087E-4,0.155361373937108,4.24546784751255E-5
590.201,0.117402596384226,0.114334182737078,0.112966995662982,0.112364851149607,0.111820969924071,0.110923143640782,0.111945069651882,0.112092910536839,0,0,1.47840884957354E-4,0,0.0100177775092933,1.47840884957354E-4,0.155439091327767,1.80349282818996E-5
590.212,0.117450718414514,0.114306537558082,0.112966958163701,0.11239353916705,0.111804713884587,0.110958817915542,0.111962888039622,0.112099126525818,0,0,1.36238486196622E-4,0,0.010031307640827,1.36238486196622E-4,0.155543925850175,-1.01397467454232E-5
590.223,0.117395039741711,0.114325041253344,0.11294548048306,0.112376155306611,0.111801896156242,0.110974458057466,0.111959969270263,0.112089025731426,0,0,1.29056461163526E-4,0,0.0100077838318903,1.29056461163526E-4,0.155559343536503,-2.76473826402113E-5
590.234,0.117363531678465,0.114373225322273,0.112970323243172,0.112379101227814,0.111822607442226,0.110976857502238,0.111973590372705,0.11210085433502,0,0,1.27263962314828E-4,0,0.0100227292927405,1.27263962314828E-4,0.155667593465422,-3.21492660224179E-5
